idx,id,emp,pop,parkingrate
0,2401A0010,347,1141,0
1,2401A0020,301,852,0
2,2401B2010,445,1206,0
3,2401C1010,325,685,0
4,2401C1020,772,1734,0
5,2403A0010,251,335,0
6,2403C1010,460,503,0
7,2404A0010,295,292,0
8,2404A0020,535,201,0
9,2404C1010,1452,1014,0
10,2409A0010,369,900,0
11,2409A0020,280,399,0
12,2409A0030,490,0,0
13,2409C1010,1032,868,0
14,2460A0010,462,1199,0
15,2460C1010,502,802,0
16,2460C1020,569,486,0
17,2460C1030,355,531,0
18,2460C1040,570,835,0
19,2480A0010,209,1647,0
20,2480A0020,223,1056,0
21,2480A0030,79,1009,0
22,2480A0040,243,1289,0
23,2480A0050,81,712,0
24,2480A0060,1086,1174,0
25,2480A0070,444,691,0
26,2480A0080,298,956,0
27,2480A0090,213,500,0
28,2480B2010,579,1810,0
29,2480B2020,218,1538,0
30,2480B2030,219,1613,0
31,2480B2040,874,1836,0
32,2480B3010,651,596,0
33,2480B3020,171,500,0
34,2480B4010,369,1747,0
35,2480B4020,87,1098,0
36,2480B5010,138,706,0
37,2480C1010,203,782,0
38,2480C1020,1140,1816,0
39,2480C1030,3895,1883,0
40,2480C1040,505,2336,0
41,2480C1050,219,5200,0
42,2480C1060,263,3156,0
43,2480C1070,228,3890,0
44,2480C1080,1071,2079,0
45,2480C1090,204,7666,0
46,2480C1100,168,4158,0
47,2480C1110,159,2776,0
48,2480C1120,361,5172,0
49,2480C1130,132,1867,0
50,2480C1140,487,2192,0
51,2480C1150,1597,1145,0
52,2480C1160,11310,2637,0
53,2480C1170,684,1997,0
54,2480C1180,179,4228,0
55,2480C1190,284,1324,0
56,2480C1200,576,1859,0
57,2480C1210,2164,1675,0
58,2480C1220,8476,1346,0
59,2480C1230,34,2804,0
60,2480C1240,129,1250,0
61,2480C1250,857,1017,0
62,2480C1260,363,1177,0
63,2480C1270,82,726,0
64,2480C1280,799,1608,0
65,2480C1290,2797,1448,0
66,2480C1300,689,1661,0
67,2480C1310,295,1142,0
68,2480C1320,102,1333,0
69,2480C1330,176,1259,0
70,2480C1340,324,1101,0
71,2480C1350,182,2644,0
72,2480C1360,383,1059,0
73,2480C1370,175,1811,0
74,2480C1380,909,2502,0
75,2480C1390,1423,819,0
76,2480C1400,360,1719,0
77,2480C1410,1088,1420,0
78,2480C1420,93,1220,0
79,2480C1430,144,2960,0
80,2480C1440,260,2254,0
81,2480C1450,4156,1652,0
82,2480C1460,280,1401,0
83,2480C1470,300,1152,0
84,2480C1480,447,861,0
85,2480C1490,316,2992,0
86,2480C1500,3197,1706,0
87,2480C1510,182,2295,0
88,2480C1520,147,647,0
89,2482A0040,586,0,0
